Estados,Año,Casos,PobTot2020,Tasa_por_100k,iso_code
Estado de méxico,2006,290096,16992418,1707.2084738028454,
Michoacán,2006,81738,4748846,1721.2181654237681,MX-MIC
Morelos,2006,43161,1971520,2189.2245577016715,MX-MOR
Nayarit,2006,32907,1235456,2663.550947990054,MX-NAY
Nuevo León,2006,196877,5784442,3403.5607928992977,MX-NLE
Oaxaca,2006,27208,4132148,658.4468900920297,MX-OAX
Puebla,2006,77829,6583278,1182.2225948835824,MX-PUE
Querétaro,2006,46806,2368467,1976.214994762435,MX-QUE
Quintana Roo,2006,28354,1857985,1526.0618358059942,MX-ROO
San Luis Potosí,2006,44652,2822255,1582.139105077323,MX-SLP
Sinaloa,2006,107343,3026943,3546.251118702929,MX-SIN
Sonora,2006,76606,2944840,2601.363741323807,MX-SON
Tabasco,2006,23383,2402598,973.238136384031,MX-TAB
Tamaulipas,2006,83731,3527735,2373.5059464500596,MX-TAM
Tlaxcala,2006,16765,1342977,1248.3460252856155,MX-TLA
Veracruz,2006,194298,8062579,2409.874061389042,MX-VER
Yucatán,2006,67405,2320898,2904.2637806573143,MX-YUC
Zacatecas,2006,23782,1622138,1466.0898147999737,MX-ZAC
Aguascalientes,2007,78604,1425607,5513.721523533484,MX-AGU
Baja California,2007,206365,3769020,5475.295965529501,MX-BCN
Baja California Sur,2007,43319,798447,5425.407071477506,MX-BCS
Campeche,2007,29228,928363,3148.3374498983694,MX-CAM
Coahuila,2007,235882,3146771,7496.00145673136,MX-COA
Colima,2007,39648,731391,5420.903456564273,MX-COL
Chiapas,2007,111003,5543828,2002.2807345393833,MX-CHP
Chihuahua,2007,219450,3741869,5864.716268795086,MX-CHH
CDMX,2007,607050,9209944,6591.245288787859,
Durango,2007,103150,1832650,5628.461517474695,MX-DUR
Guanajuato,2007,242532,6166934,3932.7808599865025,MX-GUA
Guerrero,2007,121102,3540685,3420.298614533628,MX-GRO
Hidalgo,2007,76123,3082841,2469.2483329500287,MX-HID
Jalisco,2007,499633,8348151,5984.954033533893,MX-JAL
Estado de méxico,2007,652073,16992418,3837.435025433108,
Michoacán,2007,182762,4748846,3848.5560491959523,MX-MIC
Morelos,2007,83713,1971520,4246.114672942704,MX-MOR
Nayarit,2007,66401,1235456,5374.6147171570665,MX-NAY
Nuevo León,2007,296307,5784442,5122.481995670455,MX-NLE
Oaxaca,2007,57414,4132148,1389.4468445951113,MX-OAX
Puebla,2007,151475,6583278,2300.905415205009,MX-PUE
Querétaro,2007,114698,2368467,4842.710495860824,MX-QUE
Quintana Roo,2007,55508,1857985,2987.5375743076506,MX-ROO
San Luis Potosí,2007,135611,2822255,4805.058366448106,MX-SLP
Sinaloa,2007,159611,3026943,5273.009765958593,MX-SIN
Sonora,2007,178656,2944840,6066.747259613426,MX-SON
Tabasco,2007,33611,2402598,1398.943976478795,MX-TAB
Tamaulipas,2007,171559,3527735,4863.148734244494,MX-TAM
Tlaxcala,2007,45357,1342977,3377.347489942121,MX-TLA
Veracruz,2007,338506,8062579,4198.482892384682,MX-VER
Yucatán,2007,108336,2320898,4667.84839316506,MX-YUC
Zacatecas,2007,39863,1622138,2457.435803858858,MX-ZAC
Aguascalientes,2008,133158,1425607,9340.44235192448,MX-AGU
Baja California,2008,253983,3769020,6738.701306971043,MX-BCN
Baja California Sur,2008,65500,798447,8203.424898584377,MX-BCS
Campeche,2008,20968,928363,2258.5992763606478,MX-CAM
Coahuila,2008,284550,3146771,9042.602718786973,MX-COA
Colima,2008,50894,731391,6958.521502178726,MX-COL
Chiapas,2008,133367,5543828,2405.6843033369723,MX-CHP
Chihuahua,2008,255615,3741869,6831.211889031925,MX-CHH
CDMX,2008,920870,9209944,9998.649286032574,
Durango,2008,115408,1832650,6297.329004447112,MX-DUR
Guanajuato,2008,238322,6166934,3864.513549196408,MX-GUA
Guerrero,2008,126024,3540685,3559.311263216016,MX-GRO
Hidalgo,2008,81043,3082841,2628.8413836457994,MX-HID
Jalisco,2008,642554,8348151,7696.961878145233,MX-JAL
Estado de méxico,2008,728185,16992418,4285.352443660461,
Michoacán,2008,222616,4748846,4687.791518191999,MX-MIC
Morelos,2008,90289,1971520,4579.6644213601685,MX-MOR
Nayarit,2008,62861,1235456,5088.0808381682555,MX-NAY
Nuevo León,2008,466138,5784442,8058.478242153694,MX-NLE
Oaxaca,2008,67711,4132148,1638.6392742951123,MX-OAX
Puebla,2008,222817,6583278,3384.5904730135962,MX-PUE
Querétaro,2008,172443,2368467,7280.78541942953,MX-QUE
Quintana Roo,2008,48227,1857985,2595.6614289135814,MX-ROO
San Luis Potosí,2008,168779,2822255,5980.288811606322,MX-SLP
Sinaloa,2008,194429,3026943,6423.279196205544,MX-SIN
Sonora,2008,225624,2944840,7661.672620583801,MX-SON
Tabasco,2008,36710,2402598,1527.9293498121617,MX-TAB
Tamaulipas,2008,231250,3527735,6555.197598459068,MX-TAM
Tlaxcala,2008,51438,1342977,3830.1475006645687,MX-TLA
Veracruz,2008,416465,8062579,5165.4067513633045,MX-VER
Yucatán,2008,137939,2320898,5943.346066910308,MX-YUC
Zacatecas,2008,42603,1622138,2626.348683034366,MX-ZAC
Aguascalientes,2009,142229,1425607,9976.732718063253,MX-AGU
Baja California,2009,226223,3769020,6002.1703254426875,MX-BCN
Baja California Sur,2009,67682,798447,8476.705404366227,MX-BCS
Campeche,2009,21644,928363,2331.4156208293525,MX-CAM
Coahuila,2009,285000,3146771,9056.903092090273,MX-COA
Colima,2009,54534,731391,7456.203316693807,MX-COL
Chiapas,2009,145137,5543828,2617.9924774000924,MX-CHP
Chihuahua,2009,294810,3741869,7878.683085912415,MX-CHH
CDMX,2009,1116615,9209944,12124.01508630237,
Durango,2009,156244,1832650,8525.57771533026,MX-DUR
Guanajuato,2009,314975,6166934,5107.481286486932,MX-GUA
Guerrero,2009,139157,3540685,3930.228190307808,MX-GRO
Hidalgo,2009,80566,3082841,2613.368642755173,MX-HID
Jalisco,2009,544893,8348151,6527.11001513988,MX-JAL
Estado de méxico,2009,839515,16992418,4940.527004455752,
Michoacán,2009,203941,4748846,4294.538083568092,MX-MIC
Morelos,2009,120891,1971520,6131.867797435481,MX-MOR
Nayarit,2009,58486,1235456,4733.960578118525,MX-NAY
Nuevo León,2009,560261,5784442,9685.653343918048,MX-NLE
Oaxaca,2009,70601,4132148,1708.5786859521972,MX-OAX
Puebla,2009,268833,6583278,4083.573563200582,MX-PUE
Querétaro,2009,144821,2368467,6114.545822255493,MX-QUE
Quintana Roo,2009,59540,1857985,3204.546861250225,MX-ROO
San Luis Potosí,2009,144023,2822255,5103.117896859072,MX-SLP
Sinaloa,2009,238812,3026943,7889.544005288504,MX-SIN
Sonora,2009,257215,2944840,8734.430393501854,MX-SON
Tabasco,2009,36379,2402598,1514.152596480976,MX-TAB
Tamaulipas,2009,238917,3527735,6772.532517323439,MX-TAM
Tlaxcala,2009,51693,1342977,3849.135167616422,MX-TLA
Veracruz,2009,372637,8062579,4621.808977003512,MX-VER
Yucatán,2009,149361,2320898,6435.483162120869,MX-YUC
Zacatecas,2009,50362,1622138,3104.668036874791,MX-ZAC
Aguascalientes,2010,178663,1425607,12532.416016475789,MX-AGU
Baja California,2010,319744,3769020,8483.478463897776,MX-BCN
Baja California Sur,2010,94018,798447,11775.108429238258,MX-BCS
Campeche,2010,37900,928363,4082.454815627077,MX-CAM
Coahuila,2010,359312,3146771,11418.434960789966,MX-COA
Colima,2010,68680,731391,9390.326104641705,MX-COL
Chiapas,2010,138197,5543828,2492.8082184367913,MX-CHP
Chihuahua,2010,306279,3741869,8185.18766958437,MX-CHH
CDMX,2010,1126374,9209944,12229.976642637566,
Durango,2010,204610,1832650,11164.706845278695,MX-DUR
Guanajuato,2010,331682,6166934,5378.393866384819,MX-GUA
Guerrero,2010,141208,3540685,3988.154834445877,MX-GRO
Hidalgo,2010,98110,3082841,3182.454106455701,MX-HID
Jalisco,2010,699100,8348151,8374.309472840154,MX-JAL
Estado de méxico,2010,1075664,16992418,6330.258589448541,
Michoacán,2010,197320,4748846,4155.114737348821,MX-MIC
Morelos,2010,165798,1971520,8409.653465346535,MX-MOR
Nayarit,2010,77680,1235456,6287.556983008703,MX-NAY
