Estados,Año,Casos
Sinaloa,2011,422212.0
Sinaloa,2012,451371.0
Sinaloa,2013,464545.0
Sinaloa,2014,317299.0
Sinaloa,2015,415299.0
Sinaloa,2016,452453.0
Sinaloa,2017,415313.0
Sinaloa,2018,404599.0
Sinaloa,2019,408256.0
Sinaloa,2020,204571.0
Sinaloa,2021,289931.0
Sinaloa,2022,113379.0
Sinaloa,2023,567466.0
Sinaloa,2024,430528.47380835173
Sinaloa,2025,440562.95814887073
Sonora,2000,136037.0
Sonora,2001,113616.0
Sonora,2002,139717.0
Sonora,2003,188747.0
Sonora,2004,130045.0
Sonora,2005,43419.0
Sonora,2006,76606.0
Sonora,2007,178656.0
Sonora,2008,225624.0
Sonora,2009,257215.0
Sonora,2010,259391.0
Sonora,2011,333229.0
Sonora,2012,363370.0
Sonora,2013,352556.0
Sonora,2014,293261.0
Sonora,2015,441915.0
Sonora,2016,455628.0
Sonora,2017,440156.0
Sonora,2018,388156.0
Sonora,2019,369206.0
Sonora,2020,175576.0
Sonora,2021,269507.0
Sonora,2022,457720.0
Sonora,2023,411889.0
Sonora,2024,460806.18795925286
Sonora,2025,474867.0085501278
Tabasco,2000,50235.0
Tabasco,2001,54479.0
Tabasco,2002,61908.0
Tabasco,2003,65241.0
Tabasco,2004,41517.0
Tabasco,2005,12858.0
Tabasco,2006,23383.0
Tabasco,2007,33611.0
Tabasco,2008,36710.0
Tabasco,2009,36379.0
Tabasco,2010,38834.0
Tabasco,2011,43126.0
Tabasco,2012,58873.0
Tabasco,2013,67947.0
Tabasco,2014,60665.0
Tabasco,2015,113499.0
Tabasco,2016,190410.0
Tabasco,2017,153717.0
Tabasco,2018,140169.0
Tabasco,2019,128499.0
Tabasco,2020,54694.0
Tabasco,2021,88018.0
Tabasco,2022,87830.0
Tabasco,2023,172638.0
Tabasco,2024,136911.16299357466
Tabasco,2025,141440.53258306027
Tamaulipas,2000,221992.0
Tamaulipas,2001,226094.0
Tamaulipas,2002,237023.0
Tamaulipas,2003,260945.0
Tamaulipas,2004,229312.0
Tamaulipas,2005,47432.0
Tamaulipas,2006,83731.0
Tamaulipas,2007,171559.0
Tamaulipas,2008,231250.0
Tamaulipas,2009,238917.0
Tamaulipas,2010,318563.0
Tamaulipas,2011,286918.0
Tamaulipas,2012,315124.0
Tamaulipas,2013,380147.0
Tamaulipas,2014,371851.0
Tamaulipas,2015,510867.0
Tamaulipas,2016,571272.0
Tamaulipas,2017,483118.0
Tamaulipas,2018,501576.0
Tamaulipas,2019,475779.0
Tamaulipas,2020,233389.0
Tamaulipas,2021,344273.0
Tamaulipas,2022,385177.0
Tamaulipas,2023,762855.0
Tamaulipas,2024,550904.9392442487
Tamaulipas,2025,567346.7764046903
Tlaxcala,2000,41538.0
Tlaxcala,2001,45091.0
Tlaxcala,2002,51927.0
Tlaxcala,2003,45317.0
Tlaxcala,2004,44448.0
Tlaxcala,2005,11198.0
Tlaxcala,2006,16765.0
Tlaxcala,2007,45357.0
Tlaxcala,2008,51438.0
Tlaxcala,2009,51693.0
Tlaxcala,2010,55483.0
Tlaxcala,2011,57895.0
Tlaxcala,2012,61347.0
Tlaxcala,2013,60459.0
Tlaxcala,2014,61870.0
Tlaxcala,2015,76751.0
Tlaxcala,2016,104323.0
Tlaxcala,2017,88608.0
Tlaxcala,2018,99386.0
Tlaxcala,2019,89614.0
Tlaxcala,2020,40421.0
Tlaxcala,2021,60871.0
Tlaxcala,2022,224261.0
Tlaxcala,2023,111594.0
Tlaxcala,2024,118498.11350394803
Tlaxcala,2025,122342.96280151562
Veracruz,2000,321658.0
Veracruz,2001,285734.0
Veracruz,2002,261688.0
Veracruz,2003,374204.0
Veracruz,2004,551408.0
Veracruz,2005,146922.0
Veracruz,2006,194298.0
Veracruz,2007,338506.0
Veracruz,2008,416465.0
Veracruz,2009,372637.0
Veracruz,2010,466423.0
Veracruz,2011,468921.0
Veracruz,2012,533558.0
Veracruz,2013,509864.0
Veracruz,2014,430178.0
Veracruz,2015,698323.0
Veracruz,2016,691701.0
Veracruz,2017,713143.0
Veracruz,2018,705789.0
Veracruz,2019,709330.0
Veracruz,2020,341919.0
Veracruz,2021,472264.0
Veracruz,2022,295178.0
Veracruz,2023,818274.0
Veracruz,2024,674340.560845885
Veracruz,2025,689972.9370576472
Yucatán,2000,115214.0
Yucatán,2001,119281.0
Yucatán,2002,129223.0
Yucatán,2003,156252.0
Yucatán,2004,151960.0
Yucatán,2005,42288.0
Yucatán,2006,67405.0
Yucatán,2007,108336.0
Yucatán,2008,137939.0
Yucatán,2009,149361.0
Yucatán,2010,163850.0
Yucatán,2011,158040.0
Yucatán,2012,202579.0
Yucatán,2013,204450.0
Yucatán,2014,170555.0
Yucatán,2015,189396.0
Yucatán,2016,237037.0
Yucatán,2017,193051.0
Yucatán,2018,217296.0
Yucatán,2019,197624.0
Yucatán,2020,79098.0
Yucatán,2021,142331.0
Yucatán,2022,564962.0
Yucatán,2023,270760.0
Yucatán,2024,279328.80368341313
Yucatán,2025,287150.0008535223
Zacatecas,2000,46175.0
Zacatecas,2001,49549.0
Zacatecas,2002,52899.0
Zacatecas,2003,47165.0
Zacatecas,2004,43589.0
Zacatecas,2005,18486.0
Zacatecas,2006,23782.0
Zacatecas,2007,39863.0
Zacatecas,2008,42603.0
Zacatecas,2009,50362.0
Zacatecas,2010,60074.0
Zacatecas,2011,56425.0
Zacatecas,2012,56666.0
Zacatecas,2013,53255.0
Zacatecas,2014,52015.0
Zacatecas,2015,70501.0
Zacatecas,2016,64474.0
Zacatecas,2017,71607.0
Zacatecas,2018,74776.0
Zacatecas,2019,67310.0
Zacatecas,2020,33773.0
Zacatecas,2021,54406.0
Zacatecas,2022,1331163.0
Zacatecas,2023,101002.0
Zacatecas,2024,283025.149062859
Zacatecas,2025,296071.64005897974
